Cell	Phase	Subpopulation
SRR13906817.bam	G1	2
SRR13906818.bam	G1	3
SRR13906819.bam	G1	1
SRR13906820.bam	G1	1
SRR13906821.bam	G1	1
SRR13906822.bam	G1	1
SRR13906823.bam	G1	1
SRR13906824.bam	G1	1
SRR13906825.bam	G1	1
SRR13906826.bam	G1	3
SRR13906827.bam	G1	2
SRR13906828.bam	G1	2
SRR13906829.bam	G1	2
SRR13906830.bam	G1	1
SRR13906831.bam	G1	1
SRR13906832.bam	G1	2
SRR13906833.bam	G1	3
SRR13906834.bam	G1	3
SRR13906835.bam	G1	2
SRR13906836.bam	G1	1
SRR13906838.bam	G1	1
SRR13906839.bam	G1	1
SRR13906840.bam	G1	3
SRR13906841.bam	G1	1
SRR13906842.bam	G1	1
SRR13906843.bam	G1	2
SRR13906844.bam	G1	1
SRR13906845.bam	S	1
SRR13906846.bam	G1	3
SRR13906847.bam	G1	1
SRR13906848.bam	S	1
SRR13906849.bam	G1	1
SRR13906851.bam	G1	1
SRR13906852.bam	G1	1
SRR13906853.bam	S	3
SRR13906854.bam	G1	3
SRR13906855.bam	G1	1
SRR13906856.bam	G1	1
SRR13906857.bam	S	1
SRR13906858.bam	G1	1
SRR13906859.bam	G1	1
SRR13906860.bam	G1	2
SRR13906861.bam	G1	1
SRR13906862.bam	S	3
SRR13906864.bam	G1	1
SRR13906865.bam	G1	2
SRR13906867.bam	G1	1
SRR13906868.bam	G1	1
SRR13906869.bam	G1	1
SRR13906870.bam	S	3
SRR13906871.bam	G1	1
SRR13906872.bam	G1	2
SRR13906873.bam	G1	1
SRR13906874.bam	G1	1
SRR13906875.bam	G1	3
SRR13906877.bam	G1	3
SRR13906878.bam	S	3
SRR13906879.bam	G1	1
SRR13906880.bam	G1	1
SRR13906881.bam	G1	3
SRR13906882.bam	G1	1
SRR13906883.bam	S	2
SRR13906884.bam	G1	1
SRR13906886.bam	G1	1
SRR13906887.bam	S	2
SRR13906889.bam	G1	2
SRR13906890.bam	G1	1
SRR13906891.bam	G1	1
SRR13906892.bam	G1	1
SRR13906893.bam	S	2
SRR13906895.bam	G1	1
SRR13906896.bam	G1	1
SRR13906898.bam	G1	3
SRR13906899.bam	S	1
SRR13906900.bam	G1	2
SRR13906901.bam	G1	2
SRR13906902.bam	G1	1
SRR13906903.bam	G1	1
SRR13906904.bam	G1	1
SRR13906905.bam	G1	1
SRR13906906.bam	G1	2
SRR13906907.bam	G1	3
SRR13906908.bam	G1	1
SRR13906909.bam	G1	2
SRR13906910.bam	G1	2
SRR13906911.bam	G1	3
SRR13906912.bam	G1	3
SRR13906913.bam	G1	2
SRR13906915.bam	S	1
SRR13906916.bam	G1	2
SRR13906917.bam	G1	1
SRR13906918.bam	G1	1
SRR13906919.bam	G1	1
SRR13906920.bam	G1	1
SRR13906921.bam	G1	1
SRR13906922.bam	G1	1
SRR13906923.bam	S	1
SRR13906924.bam	G1	1
SRR13906925.bam	G1	1
SRR13906926.bam	G1	2
SRR13906927.bam	S	2
SRR13906928.bam	G1	1
SRR13906929.bam	G1	3
SRR13906930.bam	G1	1
SRR13906931.bam	G1	2
SRR13906932.bam	G1	1
SRR13906933.bam	S	3
SRR13906934.bam	G1	1
SRR13906935.bam	G1	1
SRR13906937.bam	G1	2
SRR13906938.bam	G1	1
SRR13906939.bam	G1	1
SRR13906940.bam	G1	1
SRR13906941.bam	G1	1
SRR13906942.bam	G1	1
SRR13906943.bam	G1	1
SRR13906944.bam	G1	3
SRR13906945.bam	G1	2
SRR13906946.bam	G1	2
SRR13906947.bam	G1	1
SRR13906948.bam	G1	1
SRR13906949.bam	G1	1
SRR13906950.bam	G1	2
SRR13906951.bam	G1	1
SRR13906952.bam	G1	1
SRR13906953.bam	S	1
SRR13906954.bam	G1	1
SRR13906956.bam	S	1
SRR13906957.bam	G1	1
SRR13906958.bam	G1	3
SRR13906959.bam	S	2
SRR13906960.bam	G1	1
SRR13906961.bam	G1	3
SRR13906962.bam	G1	3
SRR13906963.bam	G1	3
SRR13906964.bam	S	3
SRR13906965.bam	G1	1
SRR13906966.bam	G1	1
SRR13906968.bam	G1	1
SRR13906969.bam	G1	1
SRR13906970.bam	S	3
SRR13906971.bam	G1	2
SRR13906973.bam	G1	3
SRR13906974.bam	G1	1
SRR13906975.bam	S	1
SRR13906976.bam	G1	1
SRR13906977.bam	G1	1
SRR13906978.bam	G1	2
SRR13906979.bam	G1	1
SRR13906980.bam	G1	1
SRR13906981.bam	G1	1
SRR13906983.bam	S	1
SRR13906984.bam	S	2
SRR13906985.bam	G1	1
SRR13906986.bam	G1	2
SRR13906988.bam	G1	1
SRR13906989.bam	S	3
SRR13906990.bam	G1	2
SRR13906991.bam	S	2
SRR13906992.bam	G1	1
SRR13906993.bam	G1	1
SRR13906994.bam	G1	1
SRR13906995.bam	G1	1
SRR13906996.bam	G1	3
SRR13906998.bam	G1	3
SRR13906999.bam	G1	1
SRR13907000.bam	G1	3
SRR13907001.bam	G1	3
SRR13907002.bam	G1	2
SRR13907003.bam	S	3
SRR13907004.bam	G1	1
SRR13907005.bam	G1	3
SRR13907006.bam	G1	2
SRR13907009.bam	G1	3
SRR13907010.bam	S	1
SRR13907011.bam	G1	1
SRR13907012.bam	S	1
SRR13907013.bam	G1	1
SRR13907014.bam	G1	1
SRR13907015.bam	G1	1
SRR13907016.bam	G1	1
SRR13907018.bam	G1	1
SRR13907019.bam	G1	3
SRR13907020.bam	G1	1
SRR13907021.bam	G1	1
SRR13907022.bam	G1	2
SRR13907023.bam	G1	1
SRR13907024.bam	G1	2
SRR13907025.bam	G1	1
SRR13907026.bam	G1	2
SRR13907027.bam	G1	3
SRR13907028.bam	G1	1
SRR13907029.bam	S	2
SRR13907030.bam	S	3
SRR13907031.bam	G1	1
SRR13907032.bam	G1	1
SRR13907033.bam	G1	1
SRR13907034.bam	S	1
SRR13907035.bam	G1	1
SRR13907036.bam	G1	1
SRR13907037.bam	G1	2
SRR13907038.bam	G1	2
SRR13907039.bam	G1	2
SRR13907040.bam	G1	1
SRR13907041.bam	G1	2
SRR13907042.bam	G1	1
SRR13907043.bam	G1	1
SRR13907044.bam	G1	3
SRR13907045.bam	G1	1
SRR13907046.bam	G1	1
SRR13907047.bam	G1	1
SRR13907048.bam	S	1
SRR13907049.bam	G1	2
SRR13907050.bam	G1	1
SRR13907051.bam	G1	1
SRR13907052.bam	G1	1
SRR13907053.bam	G1	1
SRR13907054.bam	G1	1
SRR13907055.bam	G1	1
SRR13907056.bam	G1	1
SRR13907057.bam	G1	1
SRR13907058.bam	G1	1
SRR13907059.bam	S	3
SRR13907060.bam	G1	1
SRR13907061.bam	S	1
SRR13907062.bam	G1	1
SRR13907063.bam	S	1
SRR13907064.bam	G1	1
SRR13907065.bam	G1	1
SRR13907066.bam	G1	3
SRR13907067.bam	G1	3
SRR13907068.bam	G1	2
SRR13907069.bam	G1	1
SRR13907070.bam	G1	1
SRR13907071.bam	G1	2
SRR13907073.bam	G1	3
SRR13907074.bam	G1	1
SRR13907075.bam	G1	1
SRR13907076.bam	G1	3
SRR13907077.bam	G1	1
SRR13907078.bam	G1	1
