Cell	Subpopulation
SA039-A96199B-R50-C20	1
SA039-A96199B-R50-C21	1
SA039-A96199B-R50-C22	1
SA039-A96199B-R50-C24	1
SA039-A96199B-R50-C27	1
SA039-A96199B-R50-C31	1
SA039-A96199B-R50-C33	1
SA039-A96199B-R50-C34	1
SA039-A96199B-R50-C35	1
SA039-A96199B-R50-C38	1
SA039-A96199B-R50-C40	1
SA039-A96199B-R50-C42	1
SA039-A96199B-R50-C43	1
SA039-A96199B-R50-C46	1
SA039-A96199B-R50-C48	1
SA039-A96199B-R50-C50	1
SA039-A96199B-R50-C51	1
SA039-A96199B-R50-C52	1
SA039-A96199B-R50-C55	1
SA039-A96199B-R50-C56	1
SA039-A96199B-R50-C57	1
SA039-A96199B-R50-C60	1
SA039-A96199B-R50-C63	1
SA039-A96199B-R50-C64	1
SA039-A96199B-R50-C65	1
SA039-A96199B-R50-C66	1
SA039-A96199B-R50-C67	1
SA039-A96199B-R50-C68	1
SA039-A96199B-R50-C70	1
SA039-A96199B-R51-C07	1
SA039-A96199B-R51-C08	1
SA039-A96199B-R51-C12	1
SA039-A96199B-R51-C14	1
SA039-A96199B-R51-C16	1
SA039-A96199B-R51-C19	1
SA039-A96199B-R51-C20	1
SA039-A96199B-R51-C26	1
SA039-A96199B-R51-C28	1
SA039-A96199B-R51-C29	1
SA039-A96199B-R51-C30	1
SA039-A96199B-R51-C32	1
SA039-A96199B-R51-C34	1
SA039-A96199B-R51-C37	1
SA039-A96199B-R51-C38	1
SA039-A96199B-R51-C39	1
SA039-A96199B-R51-C40	2
SA039-A96199B-R51-C45	1
SA039-A96199B-R51-C47	1
SA039-A96199B-R51-C49	1
SA039-A96199B-R51-C54	1
SA039-A96199B-R51-C57	1
SA039-A96199B-R51-C59	1
SA039-A96199B-R51-C61	1
SA039-A96199B-R51-C62	1
SA039-A96199B-R51-C65	1
SA039-A96199B-R51-C66	1
SA039-A96199B-R51-C69	1
SA039-A96199B-R51-C70	1
SA039-A96199B-R52-C09	1
SA039-A96199B-R52-C10	1
SA039-A96199B-R52-C11	1
SA039-A96199B-R52-C12	1
SA039-A96199B-R52-C13	1
SA039-A96199B-R52-C15	1
SA039-A96199B-R52-C16	1
SA039-A96199B-R52-C18	1
SA039-A96199B-R52-C19	1
SA039-A96199B-R52-C20	1
SA039-A96199B-R52-C21	1
SA039-A96199B-R52-C22	1
SA039-A96199B-R52-C24	2
SA039-A96199B-R52-C27	1
SA039-A96199B-R52-C29	1
SA039-A96199B-R52-C30	1
SA039-A96199B-R52-C32	1
SA039-A96199B-R52-C36	1
SA039-A96199B-R52-C37	1
SA039-A96199B-R52-C39	1
SA039-A96199B-R52-C40	1
SA039-A96199B-R52-C41	1
