Cell	Phase	Subpopulation
SRR13910023.bam	G1	2
SRR13910024.bam	G1	2
SRR13910025.bam	S	1
SRR13910026.bam	G1	2
SRR13910027.bam	S	4
SRR13910029.bam	G1	2
SRR13910030.bam	G1	2
SRR13910034.bam	G1	2
SRR13910036.bam	G1	2
SRR13910037.bam	G1	2
SRR13910038.bam	S	2
SRR13910039.bam	G1	2
SRR13910040.bam	G1	2
SRR13910041.bam	G1	2
SRR13910043.bam	G1	2
SRR13910045.bam	G1	2
SRR13910046.bam	S	2
SRR13910047.bam	G1	2
SRR13910048.bam	G1	2
SRR13910049.bam	G1	2
SRR13910051.bam	G1	2
SRR13910053.bam	G1	2
SRR13910054.bam	G1	4
SRR13910055.bam	S	2
SRR13910056.bam	G1	4
SRR13910058.bam	G1	4
SRR13910059.bam	G1	2
SRR13910060.bam	S	4
SRR13910061.bam	G1	2
SRR13910062.bam	G1	2
SRR13910063.bam	S	4
SRR13910065.bam	S	1
SRR13910066.bam	G1	2
SRR13910068.bam	G1	4
SRR13910070.bam	S	2
SRR13910071.bam	G1	2
SRR13910072.bam	G1	2
SRR13910073.bam	G1	2
SRR13910074.bam	G1	4
SRR13910075.bam	G1	4
SRR13910076.bam	G1	4
SRR13910077.bam	G1	2
SRR13910079.bam	G1	4
SRR13910080.bam	G1	2
SRR13910081.bam	S	1
SRR13910082.bam	S	2
SRR13910083.bam	G1	2
SRR13910084.bam	S	2
SRR13910086.bam	G1	2
SRR13910089.bam	G1	4
SRR13910090.bam	G1	2
SRR13910091.bam	G1	2
SRR13910093.bam	G1	4
SRR13910094.bam	S	4
SRR13910096.bam	G1	4
SRR13910097.bam	G1	2
SRR13910098.bam	G1	4
SRR13910099.bam	G1	2
SRR13910100.bam	S	2
SRR13910101.bam	G1	4
SRR13910102.bam	G1	2
SRR13910103.bam	G1	4
SRR13910105.bam	S	1
SRR13910106.bam	G1	4
SRR13910107.bam	G1	2
SRR13910108.bam	G1	2
SRR13910109.bam	G1	2
SRR13910111.bam	G1	2
SRR13910112.bam	S	4
SRR13910113.bam	G1	4
SRR13910114.bam	S	1
SRR13910115.bam	G1	2
SRR13910116.bam	G1	2
SRR13910119.bam	S	4
SRR13910120.bam	G1	2
SRR13910121.bam	G1	2
SRR13910122.bam	G1	4
SRR13910123.bam	G1	2
SRR13910124.bam	G1	2
SRR13910125.bam	G1	2
SRR13910126.bam	S	2
SRR13910127.bam	G1	2
SRR13910128.bam	G1	4
SRR13910129.bam	S	1
SRR13910130.bam	G1	2
SRR13910131.bam	G1	2
SRR13910132.bam	G1	2
SRR13910133.bam	G1	2
SRR13910134.bam	S	2
SRR13910135.bam	G1	4
SRR13910136.bam	G1	4
SRR13910137.bam	G1	2
SRR13910138.bam	G1	4
SRR13910140.bam	G1	4
SRR13910141.bam	S	2
SRR13910144.bam	G1	2
SRR13910145.bam	G1	4
SRR13910146.bam	S	2
SRR13910147.bam	S	1
SRR13910148.bam	S	1
SRR13910149.bam	G1	2
SRR13910150.bam	G1	2
SRR13910151.bam	G1	4
SRR13910152.bam	G1	4
SRR13910153.bam	S	2
SRR13910154.bam	S	4
SRR13910155.bam	G1	2
SRR13910156.bam	G1	4
SRR13910157.bam	G1	4
SRR13910158.bam	G1	4
SRR13910159.bam	G1	2
SRR13910160.bam	G1	2
SRR13910162.bam	S	2
SRR13910163.bam	G1	2
SRR13910164.bam	G1	4
SRR13910165.bam	G1	2
SRR13910166.bam	G1	4
SRR13910167.bam	G1	2
