Cell	Phase
SA906-A73046B-R50-C17.bam	G1
SA906-A73046B-R50-C18.bam	S
SA906-A73046B-R50-C19.bam	G1
SA906-A73046B-R50-C20.bam	G1
SA906-A73046B-R50-C21.bam	S
SA906-A73046B-R50-C22.bam	S
SA906-A73046B-R50-C24.bam	G1
SA906-A73046B-R50-C25.bam	S
SA906-A73046B-R50-C26.bam	G1
SA906-A73046B-R50-C28.bam	G1
SA906-A73046B-R50-C29.bam	G1
SA906-A73046B-R50-C30.bam	S
SA906-A73046B-R50-C31.bam	G1
SA906-A73046B-R50-C35.bam	G1
SA906-A73046B-R50-C37.bam	G1
SA906-A73046B-R50-C38.bam	G1
SA906-A73046B-R50-C39.bam	G1
SA906-A73046B-R50-C40.bam	G1
SA906-A73046B-R50-C41.bam	G1
SA906-A73046B-R50-C42.bam	G1
SA906-A73046B-R50-C43.bam	S
SA906-A73046B-R50-C44.bam	G1
SA906-A73046B-R50-C46.bam	S
SA906-A73046B-R50-C47.bam	G1
SA906-A73046B-R50-C49.bam	S
SA906-A73046B-R50-C50.bam	G1
SA906-A73046B-R50-C51.bam	G1
SA906-A73046B-R50-C52.bam	G1
SA906-A73046B-R50-C53.bam	S
SA906-A73046B-R50-C54.bam	G1
SA906-A73046B-R50-C55.bam	G1
SA906-A73046B-R50-C56.bam	S
SA906-A73046B-R50-C57.bam	G1
SA906-A73046B-R50-C59.bam	S
SA906-A73046B-R50-C60.bam	S
SA906-A73046B-R50-C61.bam	G1
SA906-A73046B-R50-C63.bam	S
SA906-A73046B-R50-C64.bam	G1
SA906-A73046B-R50-C65.bam	G1
SA906-A73046B-R50-C66.bam	S
SA906-A73046B-R50-C68.bam	G1
SA906-A73046B-R50-C70.bam	G1
SA906-A73046B-R51-C04.bam	G1
SA906-A73046B-R51-C07.bam	G1
SA906-A73046B-R51-C08.bam	G1
SA906-A73046B-R51-C09.bam	S
SA906-A73046B-R51-C10.bam	G1
SA906-A73046B-R51-C12.bam	G1
SA906-A73046B-R51-C13.bam	G1
SA906-A73046B-R51-C14.bam	G1
SA906-A73046B-R51-C17.bam	G1
SA906-A73046B-R51-C18.bam	S
SA906-A73046B-R51-C19.bam	G1
SA906-A73046B-R51-C20.bam	G1
SA906-A73046B-R51-C21.bam	S
SA906-A73046B-R51-C22.bam	G1
SA906-A73046B-R51-C23.bam	G1
SA906-A73046B-R51-C24.bam	S
SA906-A73046B-R51-C25.bam	G1
SA906-A73046B-R51-C26.bam	S
SA906-A73046B-R51-C27.bam	G1
SA906-A73046B-R51-C28.bam	G1
SA906-A73046B-R51-C34.bam	S
SA906-A73046B-R51-C35.bam	G1
SA906-A73046B-R51-C36.bam	S
SA906-A73046B-R51-C39.bam	S
SA906-A73046B-R51-C40.bam	S
SA906-A73046B-R51-C41.bam	S
SA906-A73046B-R51-C42.bam	G1
SA906-A73046B-R51-C43.bam	S
SA906-A73046B-R51-C44.bam	G1
SA906-A73046B-R51-C45.bam	S
SA906-A73046B-R51-C46.bam	G1
SA906-A73046B-R51-C47.bam	G1
SA906-A73046B-R51-C48.bam	S
