Cell	Phase
SA928-A73044A-R18-C25.bam	G1
SA928-A73044A-R18-C26.bam	G1
SA928-A73044A-R18-C27.bam	G1
SA928-A73044A-R18-C29.bam	G1
SA928-A73044A-R18-C30.bam	G1
SA928-A73044A-R18-C32.bam	G1
SA928-A73044A-R18-C34.bam	G1
SA928-A73044A-R18-C35.bam	G1
SA928-A73044A-R18-C37.bam	G1
SA928-A73044A-R18-C40.bam	S
SA928-A73044A-R18-C41.bam	S
SA928-A73044A-R18-C42.bam	S
SA928-A73044A-R18-C43.bam	S
SA928-A73044A-R18-C44.bam	S
SA928-A73044A-R18-C45.bam	S
SA928-A73044A-R18-C49.bam	S
SA928-A73044A-R18-C50.bam	S
SA928-A73044A-R18-C51.bam	S
SA928-A73044A-R18-C52.bam	S
SA928-A73044A-R18-C56.bam	G1
SA928-A73044A-R18-C57.bam	G1
SA928-A73044A-R18-C59.bam	S
SA928-A73044A-R18-C61.bam	S
SA928-A73044A-R18-C65.bam	G1
SA928-A73044A-R18-C66.bam	S
SA928-A73044A-R18-C68.bam	G1
SA928-A73044A-R18-C69.bam	G1
SA928-A73044A-R19-C03.bam	G1
SA928-A73044A-R19-C06.bam	G1
SA928-A73044A-R19-C08.bam	G1
SA928-A73044A-R19-C09.bam	G1
SA928-A73044A-R19-C12.bam	G1
SA928-A73044A-R19-C13.bam	G1
SA928-A73044A-R19-C14.bam	G1
SA928-A73044A-R19-C16.bam	G1
SA928-A73044A-R19-C17.bam	G1
SA928-A73044A-R19-C18.bam	G1
SA928-A73044A-R19-C19.bam	G1
SA928-A73044A-R19-C21.bam	S
SA928-A73044A-R19-C24.bam	G1
SA928-A73044A-R19-C25.bam	G1
SA928-A73044A-R19-C26.bam	S
SA928-A73044A-R19-C28.bam	G1
SA928-A73044A-R19-C29.bam	G1
SA928-A73044A-R19-C35.bam	G1
SA928-A73044A-R19-C37.bam	G1
SA928-A73044A-R19-C40.bam	S
SA928-A73044A-R19-C41.bam	S
SA928-A73044A-R19-C42.bam	S
SA928-A73044A-R19-C43.bam	S
SA928-A73044A-R19-C48.bam	S
SA928-A73044A-R19-C50.bam	S
SA928-A73044A-R19-C51.bam	S
SA928-A73044A-R19-C56.bam	G1
SA928-A73044A-R19-C57.bam	S
SA928-A73044A-R19-C67.bam	G1
SA928-A73044A-R20-C03.bam	G1
SA928-A73044A-R20-C05.bam	G1
SA928-A73044A-R20-C06.bam	G1
SA928-A73044A-R20-C07.bam	G1
SA928-A73044A-R20-C08.bam	G1
SA928-A73044A-R20-C09.bam	G1
SA928-A73044A-R20-C10.bam	G1
SA928-A73044A-R20-C11.bam	G1
SA928-A73044A-R20-C12.bam	G1
SA928-A73044A-R20-C13.bam	G1
SA928-A73044A-R20-C14.bam	G1
SA928-A73044A-R20-C16.bam	G1
SA928-A73044A-R20-C17.bam	G1
SA928-A73044A-R20-C18.bam	G1
SA928-A73044A-R20-C19.bam	G1
SA928-A73044A-R20-C21.bam	G1
SA928-A73044A-R20-C22.bam	G1
SA928-A73044A-R20-C24.bam	S
SA928-A73044A-R20-C25.bam	S
