Cell	Subpopulation
SA906-A96210C-R59-C26	1
SA906-A96210C-R59-C28	1
SA906-A96210C-R59-C29	1
SA906-A96210C-R59-C31	1
SA906-A96210C-R59-C32	1
SA906-A96210C-R59-C34	1
SA906-A96210C-R59-C37	1
SA906-A96210C-R59-C42	1
SA906-A96210C-R59-C45	1
SA906-A96210C-R59-C47	1
SA906-A96210C-R59-C48	1
SA906-A96210C-R59-C49	1
SA906-A96210C-R59-C50	1
SA906-A96210C-R59-C51	1
SA906-A96210C-R59-C55	1
SA906-A96210C-R59-C56	1
SA906-A96210C-R59-C59	1
SA906-A96210C-R59-C62	1
SA906-A96210C-R59-C64	1
SA906-A96210C-R59-C67	1
SA906-A96210C-R59-C68	1
SA906-A96210C-R59-C69	1
SA906-A96210C-R59-C70	1
SA906-A96210C-R60-C08	1
SA906-A96210C-R60-C11	1
SA906-A96210C-R60-C12	1
SA906-A96210C-R60-C13	1
SA906-A96210C-R60-C15	1
SA906-A96210C-R60-C18	1
SA906-A96210C-R60-C22	1
SA906-A96210C-R60-C23	1
SA906-A96210C-R60-C26	1
SA906-A96210C-R60-C27	1
SA906-A96210C-R60-C30	1
SA906-A96210C-R60-C32	1
SA906-A96210C-R60-C38	1
SA906-A96210C-R60-C39	1
SA906-A96210C-R60-C40	1
SA906-A96210C-R60-C41	1
SA906-A96210C-R60-C42	1
SA906-A96210C-R60-C43	1
SA906-A96210C-R60-C57	1
SA906-A96210C-R60-C61	1
SA906-A96210C-R60-C63	1
SA906-A96210C-R60-C65	1
SA906-A96210C-R60-C66	1
SA906-A96210C-R60-C69	1
SA906-A96210C-R60-C70	1
SA906-A96210C-R61-C07	1
SA906-A96210C-R61-C16	1
SA906-A96210C-R61-C20	1
SA906-A96210C-R61-C27	1
SA906-A96210C-R61-C29	1
SA906-A96210C-R61-C30	1
SA906-A96210C-R61-C32	1
SA906-A96210C-R61-C41	1
SA906-A96210C-R61-C45	1
SA906-A96210C-R61-C52	1
SA906-A96210C-R61-C61	1
SA906-A96210C-R61-C62	1
SA906-A96210C-R61-C64	1
SA906-A96210C-R61-C67	1
SA906-A96210C-R62-C07	1
SA906-A96210C-R62-C13	1
SA906-A96210C-R62-C14	1
SA906-A96210C-R62-C15	1
SA906-A96210C-R62-C16	1
SA906-A96210C-R62-C26	1
SA906-A96210C-R62-C27	1
SA906-A96210C-R62-C34	1
SA906-A96210C-R62-C35	1
SA906-A96210C-R62-C36	1
SA906-A96210C-R62-C39	1
SA906-A96210C-R62-C40	1
SA906-A96210C-R62-C42	1
SA906-A96210C-R62-C46	1
SA906-A96210C-R62-C48	1
SA906-A96210C-R62-C50	1
SA906-A96210C-R62-C51	1
SA906-A96210C-R62-C56	1
SA906-A96210C-R62-C57	1
SA906-A96210C-R62-C63	1
SA906-A96210C-R62-C67	1
SA906-A96210C-R62-C69	1
SA906-A96210C-R62-C70	1
SA906-A96210C-R63-C13	1
SA906-A96210C-R63-C16	1
SA906-A96210C-R63-C20	1
SA906-A96210C-R63-C23	1
SA906-A96210C-R63-C25	1
SA906-A96210C-R63-C26	1
SA906-A96210C-R63-C31	1
SA906-A96210C-R63-C32	1
SA906-A96210C-R63-C33	1
SA906-A96210C-R63-C35	1
SA906-A96210C-R63-C41	1
SA906-A96210C-R63-C44	1
SA906-A96210C-R63-C49	1
SA906-A96210C-R63-C51	1
SA906-A96210C-R63-C54	1
SA906-A96210C-R63-C59	1
SA906-A96210C-R63-C61	1
SA906-A96210C-R63-C64	1
SA906-A96210C-R63-C66	1
SA906-A96210C-R63-C67	1
SA906-A96210C-R63-C69	1
SA906-A96210C-R64-C11	1
SA906-A96210C-R64-C14	1
SA906-A96210C-R64-C15	1
SA906-A96210C-R64-C19	1
SA906-A96210C-R64-C21	1
SA906-A96210C-R64-C22	1
SA906-A96210C-R64-C29	1
SA906-A96210C-R64-C31	1
SA906-A96210C-R64-C33	1
SA906-A96210C-R64-C38	1
SA906-A96210C-R64-C43	1
SA906-A96210C-R64-C45	1
SA906-A96210C-R64-C59	1
SA906-A96210C-R64-C60	1
SA906-A96210C-R64-C61	1
SA906-A96210C-R64-C62	1
SA906-A96210C-R64-C63	1
SA906-A96210C-R64-C67	1
SA906-A96210C-R64-C69	1
SA906-A96210C-R64-C70	1
SA906-A96210C-R65-C14	1
SA906-A96210C-R65-C17	1
SA906-A96210C-R65-C26	1
SA906-A96210C-R65-C27	1
SA906-A96210C-R65-C28	1
SA906-A96210C-R65-C29	1
SA906-A96210C-R65-C32	1
SA906-A96210C-R65-C33	1
SA906-A96210C-R65-C34	1
SA906-A96210C-R65-C37	1
SA906-A96210C-R65-C39	1
SA906-A96210C-R65-C41	1
SA906-A96210C-R65-C51	1
SA906-A96210C-R65-C52	1
SA906-A96210C-R65-C54	1
SA906-A96210C-R65-C55	1
SA906-A96210C-R65-C59	1
SA906-A96210C-R65-C62	1
SA906-A96210C-R65-C64	1
SA906-A96210C-R65-C65	1
SA906-A96210C-R65-C66	1
SA906-A96210C-R65-C70	1
SA906-A96210C-R66-C11	1
SA906-A96210C-R66-C13	1
SA906-A96210C-R66-C14	1
SA906-A96210C-R66-C17	1
SA906-A96210C-R66-C25	1
SA906-A96210C-R66-C28	1
SA906-A96210C-R66-C31	1
SA906-A96210C-R66-C32	1
SA906-A96210C-R66-C35	1
SA906-A96210C-R66-C36	1
SA906-A96210C-R66-C37	1
SA906-A96210C-R66-C44	1
SA906-A96210C-R66-C46	1
SA906-A96210C-R66-C52	1
SA906-A96210C-R66-C53	1
SA906-A96210C-R66-C55	1
SA906-A96210C-R66-C56	1
SA906-A96210C-R66-C57	1
SA906-A96210C-R66-C59	1
SA906-A96210C-R66-C60	1
SA906-A96210C-R66-C61	1
SA906-A96210C-R66-C62	1
SA906-A96210C-R66-C63	1
SA906-A96210C-R66-C65	1
SA906-A96210C-R66-C66	1
