Cell	Phase	Subpopulation
SA1101-A96193B-R37-C08.bam	G1	1
SA1101-A96193B-R37-C13.bam	G1	1
SA1101-A96193B-R37-C16.bam	G1	1
SA1101-A96193B-R37-C17.bam	S	1
SA1101-A96193B-R37-C21.bam	G1	2
SA1101-A96193B-R37-C22.bam	S	1
SA1101-A96193B-R37-C23.bam	G1	2
SA1101-A96193B-R37-C24.bam	G1	1
SA1101-A96193B-R37-C25.bam	G1	1
SA1101-A96193B-R37-C26.bam	S	1
SA1101-A96193B-R37-C28.bam	G1	1
SA1101-A96193B-R37-C29.bam	S	1
SA1101-A96193B-R37-C30.bam	G1	1
SA1101-A96193B-R37-C31.bam	G1	1
SA1101-A96193B-R37-C32.bam	G1	1
SA1101-A96193B-R37-C37.bam	S	1
SA1101-A96193B-R37-C38.bam	S	1
SA1101-A96193B-R37-C39.bam	G1	1
SA1101-A96193B-R37-C40.bam	G1	1
SA1101-A96193B-R37-C41.bam	S	1
SA1101-A96193B-R37-C43.bam	S	1
SA1101-A96193B-R37-C48.bam	S	1
SA1101-A96193B-R37-C49.bam	G1	1
SA1101-A96193B-R37-C55.bam	G1	1
SA1101-A96193B-R37-C56.bam	S	2
SA1101-A96193B-R37-C57.bam	G1	1
SA1101-A96193B-R37-C60.bam	G1	1
SA1101-A96193B-R37-C61.bam	G1	1
SA1101-A96193B-R37-C64.bam	G1	2
SA1101-A96193B-R38-C08.bam	S	1
SA1101-A96193B-R38-C09.bam	S	1
SA1101-A96193B-R38-C11.bam	G1	2
SA1101-A96193B-R38-C13.bam	G1	1
SA1101-A96193B-R38-C14.bam	G1	1
SA1101-A96193B-R38-C15.bam	G1	2
SA1101-A96193B-R38-C16.bam	G1	1
SA1101-A96193B-R38-C17.bam	S	1
SA1101-A96193B-R38-C18.bam	S	1
SA1101-A96193B-R38-C19.bam	G1	1
SA1101-A96193B-R38-C20.bam	G1	2
SA1101-A96193B-R38-C21.bam	G1	2
SA1101-A96193B-R38-C22.bam	G1	2
SA1101-A96193B-R38-C23.bam	G1	1
SA1101-A96193B-R38-C24.bam	G1	2
SA1101-A96193B-R38-C25.bam	G1	1
SA1101-A96193B-R38-C26.bam	G1	1
SA1101-A96193B-R38-C27.bam	S	1
SA1101-A96193B-R38-C28.bam	G1	1
SA1101-A96193B-R38-C29.bam	G1	1
SA1101-A96193B-R38-C30.bam	G1	1
SA1101-A96193B-R38-C31.bam	G1	1
SA1101-A96193B-R38-C32.bam	G1	1
SA1101-A96193B-R38-C35.bam	S	1
SA1101-A96193B-R38-C37.bam	G1	2
SA1101-A96193B-R38-C38.bam	G1	1
SA1101-A96193B-R38-C39.bam	G1	1
